species,sex,weight,date collected,proper calibration,plot,year
dm,m,40,1/9/14,yes,1,2014
dm,f,36,1/9/14,yes,1,2014
dm,f,51,3/13/14,yes,1,2014
dm,f,44,3/13/14,yes,1,2014
dm,f,146,3/13/14,yes,1,2014
na,na,na,1/8/14,yes,2,2014
dm,m,44,1/8/14,yes,2,2014
pf,f,7,1/8/14,yes,2,2014
dm,m,45,1/8/14,yes,2,2014
ot,na,na,1/8/14,yes,2,2014
ds,m,157,1/8/14,no,2,2014
ox,na,na,1/8/14,yes,2,2014
na,m,218,2/18/14,no,2,2014
pf,f,7,2/18/14,yes,2,2014
dm,m,52,2/18/14,yes,2,2014
pf,m,8,3/11/14,yes,3,2014
na,f,na,4/8/14,yes,3,2014
na,na,na,5/6/14,yes,3,2014
na,f,182,5/18/14,yes,3,2014
ot,f,29,6/9/14,yes,3,2014
na,f,115,7/8/14,yes,3,2014
na,m,190,7/8/14,yes,3,2014
dm,f,37,1/8/14,yes,4,2014
dm,m,na,1/8/14,yes,4,2014
dm,f,48,1/8/14,yes,4,2014
do,m,52,1/8/14,yes,4,2014
ol,m,35,1/8/14,yes,4,2014
dm,f,na,7/16/13,yes,2,2013
dm,m,33,7/16/13,yes,7,2013
dm,m,na,7/16/13,yes,3,2013
dm,m,na,7/16/13,yes,1,2013
dm,m,40,7/18/13,yes,3,2013
dm,m,48,7/18/13,yes,7,2013
dm,f,29,7/18/13,yes,4,2013
dm,f,37,7/18/13,yes,6,2013
do,f,52,8/9/13,yes,8,2013
do,f,53,10/17/13,yes,3,2013
do,f,50,10/17/13,yes,3,2013
do,f,40,12/10/13,yes,9,2013
do,m,45,12/10/13,yes,1,2013
do,f,41,12/11/13,yes,8,2013
ds,f,117,11/12/13,yes,9,2013
ds,f,126,11/13/13,yes,11,2013
ds,m,132,11/13/13,no,17,2013
ds,f,113,11/13/13,no,14,2013
ds,f,122,11/13/13,yes,11,2013
ds,f,107,11/13/13,yes,4,2013
ds,f,115,11/13/13,yes,4,2013